Component,Subcomponent,Parameter,Value,Description
metadata,extraction_date,,2025-09-10T22:30:53.322511,
metadata,version,,v1,
metadata,figure_id,,fig1_system_architecture,
metadata,data_source,,Enhanced Attention Network Architecture Specifications,
synthetic_generation_components,multipath_modeling,technique,Channel impulse response modeling,
synthetic_generation_components,multipath_modeling,formula,h(t) = Σ αᵢ(t)δ(t - τᵢ(t)),
synthetic_generation_components,multipath_modeling,parameters,"['complex_amplitude', 'propagation_delay']",
synthetic_generation_components,human_interaction_modeling,fresnel_reflection,Γ = (√εᵣ - 1)/(√εᵣ + 1),
synthetic_generation_components,human_interaction_modeling,doppler_shift,fₐ = (v·cos(θ)/c)·fᶜ,
synthetic_generation_components,human_interaction_modeling,parameters,"['velocity', 'angle', 'permittivity']",
synthetic_generation_components,environmental_variations,room_geometry,parameterized,
synthetic_generation_components,environmental_variations,wall_materials,modeled,
synthetic_generation_components,environmental_variations,furniture_placement,randomized,
synthetic_generation_components,environmental_variations,device_positions,configurable,
enhanced_attention_network,architecture_type,,CNN + SE + Temporal Attention,
enhanced_attention_network,total_parameters,,640713,
enhanced_attention_network,attention_parameters,,411520,
enhanced_attention_network,attention_percentage,,64.2,
enhanced_attention_network,components,,"['DepthwiseConv2D', 'PointwiseConv2D', 'Squeeze-and-Excitation', 'MultiHeadTemporalAttention']",
enhanced_attention_network,optimization,,Edge deployment optimized,
evaluation_protocols,SRV,configurations,540,
evaluation_protocols,SRV,focus,synthetic robustness,
evaluation_protocols,CDAE,configurations,40,
evaluation_protocols,CDAE,focus,cross-domain adaptation,
evaluation_protocols,STEA,configurations,56,
evaluation_protocols,STEA,focus,sim2real efficiency,
evaluation_protocols,Edge_Analysis,platform,Xavier AGX 32G,
evaluation_protocols,Edge_Analysis,focus,deployment feasibility,
edge_deployment,platform,,Xavier AGX 32G,
edge_deployment,cpu,,ARM Cortex-A78AE,
edge_deployment,gpu,,NVIDIA Volta (512 CUDA cores),
edge_deployment,memory,,32GB LPDDR4x,
edge_deployment,cuda_memory,,31.17GB,
edge_deployment,compute_capability,,7.2,
performance_metrics,cross_domain_f1,,83.0±0.1%,
performance_metrics,loso_loro_consistency,,identical performance,
performance_metrics,label_efficiency,,82.1% F1 with 20% data,
performance_metrics,throughput,,607 samples/second,
performance_metrics,latency,,5.3ms,
performance_metrics,memory_footprint,,2.44MB,
