Framework_Component,Subcomponent,Parameter,Value,Formula
signal_model_foundation,csi_representation,,"H(f,t) = A(f,t) * exp(j*Φ(f,t))",
signal_model_foundation,system_parameters,N_tx,transmit antennas,
signal_model_foundation,system_parameters,N_rx,receive antennas,
signal_model_foundation,system_parameters,N_sc,subcarriers,
signal_model_foundation,system_parameters,ofdm_structure,multiple subcarriers,
multipath_propagation,model,,h(t) = Σ αᵢ(t)δ(t - τᵢ(t)),
multipath_propagation,components,alpha_i,complex amplitude i-th path,
multipath_propagation,components,tau_i,delay i-th path,
multipath_propagation,components,N_paths,number of propagation paths,
multipath_propagation,phenomena,items,reflections; diffractions; scattering,
multipath_propagation,sources,items,walls; furniture; objects,
human_body_interaction,fresnel_reflection,formula,Γ = (√εᵣ - 1)/(√εᵣ + 1),Γ = (√εᵣ - 1)/(√εᵣ + 1)
human_body_interaction,fresnel_reflection,parameter,εᵣ = relative permittivity human tissue,εᵣ = relative permittivity human tissue
human_body_interaction,doppler_effect,formula,fₐ = (v·cos(θ)/c)·fᶜ,fₐ = (v·cos(θ)/c)·fᶜ
human_body_interaction,doppler_effect,parameters,"{'v': 'velocity', 'theta': 'angle between velocity and signal path', 'c': 'speed of light', 'f_c': 'carrier frequency'}",
human_body_interaction,mechanisms,items,absorption; scattering; time_varying_perturbations,
environmental_modeling,variations,room_geometry,parameterized dimensions,
environmental_modeling,variations,wall_materials,material property modeling,
environmental_modeling,variations,furniture_placement,randomized configurations,
environmental_modeling,variations,device_positions,configurable locations,
environmental_modeling,noise_model,,"H_observed(f,t) = H_ideal(f,t) + N(f,t) + I(f,t)",
environmental_modeling,noise_components,"N(f,t)",thermal noise and hardware imperfections,
environmental_modeling,noise_components,"I(f,t)",co-channel interference patterns,
parameterized_generation,formula,,"X_synth, y_synth = G(θ_activity, θ_env, θ_signal, θ_noise)",
parameterized_generation,parameter_categories,activity_parameters,"['activity_type', 'duration', 'movement_patterns', 'num_subjects']",
parameterized_generation,parameter_categories,environmental_parameters,"['room_dimensions', 'wall_materials', 'furniture_layout', 'device_positions']",
parameterized_generation,parameter_categories,signal_parameters,"['carrier_frequency', 'bandwidth', 'antenna_configuration', 'transmission_power']",
parameterized_generation,parameter_categories,noise_parameters,"['SNR_levels', 'interference_patterns', 'hardware_imperfections']",
parameterized_generation,parameter_categories,difficulty_parameters,"['class_overlap', 'label_noise', 'environmental_variability']",
multi_level_caching,disk_caching,format,.pkl files,
multi_level_caching,disk_caching,identifier,MD5-based unique identifiers,
multi_level_caching,disk_caching,purpose,reuse across experiments,
multi_level_caching,memory_caching,policy,LRU eviction,
multi_level_caching,memory_caching,purpose,accelerate data loading during training,
multi_level_caching,performance_improvement,,reduces generation time from minutes to seconds,
framework_validation,sim2real_performance,f1_score,82.1% with 20% real data,
framework_validation,sim2real_performance,efficiency_gain,80% labeling cost reduction,
framework_validation,edge_compatibility,,maintained computational efficiency,
framework_validation,evaluation_protocols,,540,
generation_configurations,time_steps,items,32; 64; 128,
generation_configurations,feature_dimensions,items,30; 52; 90,
generation_configurations,difficulty_levels,items,easy; medium; hard,
generation_configurations,noise_parameters,class_overlap,"[0.0, 0.4, 0.8]",
generation_configurations,noise_parameters,label_noise,"[0.0, 0.05, 0.1]",
generation_configurations,environmental_variations,burst_rates,"[0.0, 0.1, 0.2]",
generation_configurations,environmental_variations,gain_drift,modeled,
