filename,label_noise,macro_f1,model,noise_category
paperA_bilstm_hard_s0_cla0p0_env0p0_lab0p0.json,0.0,1.0,bilstm,0%
paperA_bilstm_hard_s0_cla0p0_env0p0_lab0p05.json,0.05,1.0,bilstm,5%
paperA_bilstm_hard_s0_cla0p0_env0p0_lab0p1.json,0.1,1.0,bilstm,10%
paperA_bilstm_hard_s0_cla0p0_env0p1_lab0p0.json,0.0,0.9996587732969855,bilstm,0%
paperA_bilstm_hard_s0_cla0p0_env0p1_lab0p05.json,0.05,0.9996740458936582,bilstm,5%
paperA_bilstm_hard_s0_cla0p0_env0p1_lab0p1.json,0.1,0.9996446791715372,bilstm,10%
paperA_bilstm_hard_s0_cla0p0_env0p2_lab0p0.json,0.0,0.9996665050259602,bilstm,0%
paperA_bilstm_hard_s0_cla0p0_env0p2_lab0p05.json,0.05,0.9996663438213629,bilstm,5%
paperA_bilstm_hard_s0_cla0p0_env0p2_lab0p1.json,0.1,0.9996733577294279,bilstm,10%
paperA_bilstm_hard_s0_cla0p4_env0p0_lab0p0.json,0.0,0.9247861658862754,bilstm,0%
paperA_bilstm_hard_s0_cla0p4_env0p0_lab0p05.json,0.05,0.9261556397013122,bilstm,5%
paperA_bilstm_hard_s0_cla0p4_env0p0_lab0p1.json,0.1,0.930097423528615,bilstm,10%
paperA_bilstm_hard_s0_cla0p4_env0p1_lab0p0.json,0.0,0.9259901553902122,bilstm,0%
paperA_bilstm_hard_s0_cla0p4_env0p1_lab0p05.json,0.05,0.9261789271804256,bilstm,5%
paperA_bilstm_hard_s0_cla0p4_env0p1_lab0p1.json,0.1,0.9200245662377042,bilstm,10%
paperA_bilstm_hard_s0_cla0p4_env0p2_lab0p0.json,0.0,0.9325177204395193,bilstm,0%
paperA_bilstm_hard_s0_cla0p4_env0p2_lab0p05.json,0.05,0.9341197566241157,bilstm,5%
paperA_bilstm_hard_s0_cla0p4_env0p2_lab0p1.json,0.1,0.937399111262303,bilstm,10%
paperA_bilstm_hard_s0_cla0p8_env0p0_lab0p0.json,0.0,0.7089834429711329,bilstm,0%
paperA_bilstm_hard_s0_cla0p8_env0p0_lab0p05.json,0.05,0.7252906436201827,bilstm,5%
paperA_bilstm_hard_s0_cla0p8_env0p0_lab0p1.json,0.1,0.707328163653518,bilstm,10%
paperA_bilstm_hard_s0_cla0p8_env0p1_lab0p0.json,0.0,0.9043106161468417,bilstm,0%
paperA_bilstm_hard_s0_cla0p8_env0p1_lab0p05.json,0.05,0.9053674050683274,bilstm,5%
paperA_bilstm_hard_s0_cla0p8_env0p1_lab0p1.json,0.1,0.7120889108099683,bilstm,10%
paperA_bilstm_hard_s0_cla0p8_env0p2_lab0p0.json,0.0,0.9561806681196368,bilstm,0%
paperA_bilstm_hard_s0_cla0p8_env0p2_lab0p05.json,0.05,0.9465973094583339,bilstm,5%
paperA_bilstm_hard_s0_cla0p8_env0p2_lab0p1.json,0.1,0.9635734494055326,bilstm,10%
paperA_bilstm_hard_s1_cla0p0_env0p0_lab0p0.json,0.0,1.0,bilstm,0%
paperA_bilstm_hard_s1_cla0p0_env0p0_lab0p05.json,0.05,1.0,bilstm,5%
paperA_bilstm_hard_s1_cla0p0_env0p0_lab0p1.json,0.1,1.0,bilstm,10%
paperA_bilstm_hard_s1_cla0p0_env0p1_lab0p0.json,0.0,1.0,bilstm,0%
paperA_bilstm_hard_s1_cla0p0_env0p1_lab0p05.json,0.05,1.0,bilstm,5%
paperA_bilstm_hard_s1_cla0p0_env0p1_lab0p1.json,0.1,1.0,bilstm,10%
paperA_bilstm_hard_s1_cla0p0_env0p2_lab0p0.json,0.0,1.0,bilstm,0%
paperA_bilstm_hard_s1_cla0p0_env0p2_lab0p05.json,0.05,1.0,bilstm,5%
paperA_bilstm_hard_s1_cla0p0_env0p2_lab0p1.json,0.1,1.0,bilstm,10%
paperA_bilstm_hard_s1_cla0p4_env0p0_lab0p0.json,0.0,0.9276487270283513,bilstm,0%
paperA_bilstm_hard_s1_cla0p4_env0p0_lab0p05.json,0.05,0.9290000806911469,bilstm,5%
paperA_bilstm_hard_s1_cla0p4_env0p0_lab0p1.json,0.1,0.9225263861948709,bilstm,10%
paperA_bilstm_hard_s1_cla0p4_env0p1_lab0p0.json,0.0,0.9280596118799174,bilstm,0%
paperA_bilstm_hard_s1_cla0p4_env0p1_lab0p05.json,0.05,0.9315801955499119,bilstm,5%
paperA_bilstm_hard_s1_cla0p4_env0p1_lab0p1.json,0.1,0.8969511824600807,bilstm,10%
paperA_bilstm_hard_s1_cla0p4_env0p2_lab0p0.json,0.0,0.935646849000883,bilstm,0%
paperA_bilstm_hard_s1_cla0p4_env0p2_lab0p05.json,0.05,0.9140800032763201,bilstm,5%
paperA_bilstm_hard_s1_cla0p4_env0p2_lab0p1.json,0.1,0.9317730128225997,bilstm,10%
