Convergence,F1_Score,Model,Protocol,Subject
1,82.85769364250211,PASE-Net,LOSO,S1
1,82.85987894094755,PASE-Net,LOSO,S2
1,83.214283014732,PASE-Net,LOSO,S3
1,82.97617420099648,PASE-Net,LOSO,S4
1,82.9767492838084,PASE-Net,LOSO,S5
1,83.214283014732,CNN,LOSO,S1
1,82.97674126154973,CNN,LOSO,S2
1,83.09521649733912,CNN,LOSO,S3
1,88.63094968139868,CNN,LOSO,S4
1,82.97618237752935,CNN,LOSO,S5
1,81.66655651178701,BiLSTM,LOSO,S1
1,81.18974730068959,BiLSTM,LOSO,S2
1,76.44868966399414,BiLSTM,LOSO,S3
1,81.67049044776402,BiLSTM,LOSO,S4
1,80.36396869665995,BiLSTM,LOSO,S5
1,82.73807094064257,Conformer,LOSO,S1
0,12.610114394898137,Conformer,LOSO,S2
0,11.904761904761903,Conformer,LOSO,S3
1,82.49992417221591,Conformer,LOSO,S4
0,11.904761904761903,Conformer,LOSO,S5
