convergence_success,f1_score,model,model_name,protocol,seed
1,81.66655651178701,bilstm,BiLSTM,LOSO,0
1,81.18974730068959,bilstm,BiLSTM,LOSO,1
1,76.44868966399414,bilstm,BiLSTM,LOSO,2
1,81.67049044776402,bilstm,BiLSTM,LOSO,3
1,80.36396869665995,bilstm,BiLSTM,LOSO,4
1,83.214283014732,cnn,CNN,LOSO,0
1,82.97674126154973,cnn,CNN,LOSO,1
1,83.09521649733912,cnn,CNN,LOSO,2
1,88.63094968139868,cnn,CNN,LOSO,3
1,82.97618237752935,cnn,CNN,LOSO,4
1,82.73807094064257,conformer,Conformer,LOSO,0
0,12.610114394898137,conformer,Conformer,LOSO,1
0,11.904761904761903,conformer,Conformer,LOSO,2
1,82.49992417221591,conformer,Conformer,LOSO,3
0,11.904761904761903,conformer,Conformer,LOSO,4
1,82.85769364250211,enhanced,PASE-Net,LOSO,0
1,82.85987894094755,enhanced,PASE-Net,LOSO,1
1,83.214283014732,enhanced,PASE-Net,LOSO,2
1,82.97617420099648,enhanced,PASE-Net,LOSO,3
1,82.9767492838084,enhanced,PASE-Net,LOSO,4
1,80.85287738247655,bilstm,BiLSTM,LORO,0
1,81.5217334125784,bilstm,BiLSTM,LORO,1
1,81.64355568590452,bilstm,BiLSTM,LORO,2
1,79.23082587604763,bilstm,BiLSTM,LORO,3
1,71.17065321263716,bilstm,BiLSTM,LORO,4
1,83.03139779522341,cnn,CNN,LORO,0
1,82.97115506461994,cnn,CNN,LORO,1
1,62.78671320177966,cnn,CNN,LORO,2
1,81.58213818324684,cnn,CNN,LORO,3
1,87.85926452831072,cnn,CNN,LORO,4
1,81.52513574861133,conformer,Conformer,LORO,0
1,88.98893962058443,conformer,Conformer,LORO,1
1,87.75911761131245,conformer,Conformer,LORO,2
1,82.04803659635292,conformer,Conformer,LORO,3
1,80.27768216583407,conformer,Conformer,LORO,4
1,83.09193119265252,enhanced,PASE-Net,LORO,0
1,83.15217356072006,enhanced,PASE-Net,LORO,1
1,82.97100603684342,enhanced,PASE-Net,LORO,2
1,83.03168637344332,enhanced,PASE-Net,LORO,3
1,82.8508053541587,enhanced,PASE-Net,LORO,4
